id,title,reviews_cnt,ratings_cnt,pub_year,avg_rating,alt_avg_rating,author1_name,author1_role,author1_avg_rating,author2_name,author2_role,author2_avg_rating,author3_name,author3_role,author3_avg_rating,genres,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5,Genre_6,Genre_7,Genre_8,Genre_9,Genre_10,Genre_11
37424706,The Art of Gathering: How We Meet and Why It Matters,1367,23,,4.3,4.304347826,Priya Parker,,4.3,,,,,,,"non-fiction,economics,personal-development,psychology",non-fiction,economics,personal-development,psychology,,,,,,,
117833,The Master and Margarita,331567,178007,1967,4.32,4.316717882,Mikhail Bulgakov,,4.25,Katherine Tiernan O'Connor,Translator,4.33,Diana Burgin,Translator,4.33,"fiction,classics,fantasy,literature,novel",fiction,classics,fantasy,literature,novel,,,,,,
18632929,Kaip atpažinti psichopatą,295551,96957,2012,3.92,3.92207886,Jon Ronson,,3.9,Linas Vasara,Translator,4,,,,"non-fiction,psychology,science",non-fiction,psychology,science,,,,,,,,
1953,A Tale of Two Cities,1240390,710415,1859,3.82,3.820596412,Charles Dickens,,3.87,Richard Maxwell,"Editor, Introduction",3.81,Hablot Knight Browne,Illustrator,3.83,"classics,fiction,literature,history,novel,british",classics,fiction,literature,history,novel,british,,,,,
5130,Island,50444,18565,1962,3.87,3.866792351,Aldous Huxley,,3.98,,,,,,,"fiction,classics,science-fiction,philosophy,dystopia,literature,novel,fantasy,british",fiction,classics,science-fiction,philosophy,dystopia,literature,novel,fantasy,british,,
149267,The Stand,758617,509167,1978,4.34,4.340346095,Stephen King,,4.02,Bernie Wrightson,Illustrator,4.25,,,,"fiction,fantasy,science-fiction,dystopia,classics",fiction,fantasy,science-fiction,dystopia,classics,,,,,,
2595138,The Gargoyle,69832,39228,2008,3.97,3.965713266,Andrew Davidson,,3.97,,,,,,,"fiction,fantasy,romance,history,contemporary,adult,adult,fiction",fiction,fantasy,romance,history,contemporary,adult,adult,fiction,,,
1202,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",906344,574223,2005,3.94,3.940653718,Steven D. Levitt,,3.93,Stephen J. Dubner,,3.93,,,,"non-fiction,economics,science,psychology,politics,adult,philosophy",non-fiction,economics,science,psychology,politics,adult,philosophy,,,,
6952,Like Water for Chocolate (Como agua para chocolate),416015,295321,1989,3.94,3.939218681,Laura Esquivel,,3.92,Thomas  Christensen,Translator,3.94,Carol Christensen,Translator,3.94,"fiction,romance,classics,fantasy,novel,adult,fiction",fiction,romance,classics,fantasy,novel,adult,fiction,,,,
7763,The Joy Luck Club,712807,542762,1989,3.9,3.904313493,Amy Tan,,3.9,,,,,,,"classics,fiction,contemporary,adult,fiction,literature,adult,novel,history",classics,fiction,contemporary,adult,fiction,literature,adult,novel,history,,
101509,Nectar in a Sieve,12427,7742,1954,3.62,3.622061483,Kamala Markandaya,,3.62,,,,,,,"fiction,classics,literature,history,novel,adult,fiction",fiction,classics,literature,history,novel,adult,fiction,,,,
36576608,Flowers for Algernon,582658,374281,1959,4.08,4.084628929,Daniel Keyes,,4.09,,,,,,,"fiction,classics,science-fiction,young-adult,literature,psychology,novel,adult,american,adult,fiction",fiction,classics,science-fiction,young-adult,literature,psychology,novel,adult,american,adult,fiction
2653,To Kill A Mocking Bird: Notes,3739,2097,1981,4.01,4.012398665,Rosamund Metcalf,,4.01,,,,,,,"fiction,classics,young-adult,non-fiction",fiction,classics,young-adult,non-fiction,,,,,,,
28465052,Dear Data,1627,368,2016,4.27,4.266304348,Giorgia Lupi,,4.16,Stefanie Posavec,,4.16,Maria Popova,Foreword,4.14,"non-fiction,science,biography,economics",non-fiction,science,biography,economics,,,,,,,
9919,A Christmas Memory,15288,9146,1956,4.23,4.233654056,Truman Capote,,4,,,,,,,"fiction,classics,biography,non-fiction,american,children",fiction,classics,biography,non-fiction,american,children,,,,,
251688,Breakfast at Tiffany's,325382,177454,1958,3.9,3.895088305,Truman Capote,,4,,,,,,,"classics,fiction,american,literature,romance,novel",classics,fiction,american,literature,romance,novel,,,,,
4830,Shalimar the Clown,20286,11721,2005,3.87,3.867417456,Salman Rushdie,,3.83,,,,,,,"fiction,literature,contemporary,novel,fantasy",fiction,literature,contemporary,novel,fantasy,,,,,,
6359825,The Dark Side of Love,2992,778,2004,4.11,4.107969152,Rafik Schami,,3.99,Anthea Bell,Translator,3.96,,,,"fiction,mystery,contemporary,literature,novel",fiction,mystery,contemporary,literature,novel,,,,,,
6326889,The Miles Between,3462,1300,2009,3.77,3.766153846,Mary E. Pearson,,4,,,,,,,"young-adult,contemporary,fiction,romance",young-adult,contemporary,fiction,romance,,,,,,,
172366,The Library of Babel,10971,4313,1941,4.46,4.463482495,Jorge Luis Borges,,4.31,Erik Desmazieres,,4.47,Andrew Hurley,Translator,4.35,"fiction,classics,philosophy,fantasy,literature,science-fiction",fiction,classics,philosophy,fantasy,literature,science-fiction,,,,,
6493208,The Immortal Life of Henrietta Lacks,826023,455428,2010,4.05,4.045620823,Rebecca Skloot,,4.05,,,,,,,"non-fiction,science,biography,history,adult",non-fiction,science,biography,history,adult,,,,,,
929587,"Tlön, Uqbar, Orbis Tertius",1748,1007,1940,4.4,4.403177756,Jorge Luis Borges,,4.31,,,,,,,"fiction,fantasy,philosophy,science-fiction,classics,literature",fiction,fantasy,philosophy,science-fiction,classics,literature,,,,,
6642715,The Forty Rules of Love,181661,84988,2010,4.16,4.163634866,Elif Shafak,,3.98,,,,,,,"fiction,novel,philosophy,romance",fiction,novel,philosophy,romance,,,,,,,
76620,"Watership Down (Watership Down, #1)",76363,325000,1972,4.06,4.060156923,Richard  Adams,,4.04,,,,,,,"classics,fiction,fantasy,young-adult,adventure,children,literature,novel,british",classics,fiction,fantasy,young-adult,adventure,children,literature,novel,british,,
15801967,Contagious: Why Things Catch On,63158,14830,2013,3.9,3.903371544,Jonah Berger,,3.88,,,,,,,"economics,non-fiction,psychology,science,personal-development",economics,non-fiction,psychology,science,personal-development,,,,,,
656,War and Peace,574535,214654,1869,4.11,4.10725167,Leo Tolstoy,,4.04,Henry Gifford,editor,4.09,Aylmer Maude,translator,4.08,"classics,fiction,literature,politics,history,novel",classics,fiction,literature,politics,history,novel,,,,,
71728,Jonathan Livingston Seagull,218618,162158,1970,3.81,3.809963122,Richard Bach,,3.89,Russell Munson,Photographer,3.79,,,,"fiction,classics,philosophy,fantasy,literature,novel,personal-development,young-adult",fiction,classics,philosophy,fantasy,literature,novel,personal-development,young-adult,,,
